doy,gald,mass
143,62.5,0.392220576
143,150,0.558296185
143,252.5,0.38557854
143,157.5,0.421300553
143,85,0.478998289
143,220,0.161272724
143,95,0.223809532
143,142.5,0.664845448
143,192.5,0.30386128
143,180,1.343011366
143,37.5,1.08669699
143,7.5,0.567963287
143,95,0.377957774
143,157.5,1.416358873
143,42.5,0.36973058
143,155,2.516863938
143,20,0.462424567
143,252.5,0.426943992
143,157.5,2.338934762
143,168.125,0.322496905
143,143.75,1.822968287
143,210,5.980405063
143,245,1.163656131
143,77.5,5.455222678
143,142.5,0.925086093
143,165,0.741213388
143,337.5,0.906208858
143,57.5,2.522271901
143,75,1.009934512
143,142.5,0.801787111
143,192.5,2.979259981
143,312.5,0.798337948
143,40,0.664310405
143,45,0.570656209
143,175,2.532210294
143,172.5,2.352554604
143,180,0.976709565
143,30,1.08567722
143,57.5,0.866803527
143,155,2.282225276
143,165,2.605049419
143,110,0.732509036
143,127.5,1.160703173
143,102.5,0.768860649
143,212.5,0.695232184
143,127.5,0.505478347
143,40,2.369171069
143,72.5,0.488051655
143,15,0.827376939
143,22.5,1.181340292
143,25,0.321636471
143,45,0.417682255
143,30,1.153799803
143,42.5,0.546315818
143,65,0.391696462
143,15,2.581085266
143,20,0.003572851
143,27.5,0.001250082
143,40,0.570910408
143,42.5,1.062460634
143,15,0.746973747
143,22.5,0.302047306
143,15,1.066194899
143,27.5,1.148871585
143,32.5,0.567946284
143,17.5,1.193120177
143,35,1.257480355
143,40,1.074021567
143,35,1.293728775
143,27.5,2.193313861
143,37.5,0.619584425
143,17.5,3.688289615
143,20,2.086239538
143,22.5,1.165337907
143,25,1.272016375
143,80,1.740066519
143,22.5,5.141000483
143,27.5,10.37719046
143,20,0.501420699
143,30,0.001245672
143,15,0.003269384
143,42.5,0.002986542
143,22.5,0.002862871
143,90,0.003294425
143,22.5,0.001577778
143,35,0.001769472
143,148.75,0.002091357
143,325,0.00156246
143,225,0.002249728
143,185,0.002568731
143,187.5,0.002361864
143,242.5,0.002042295
143,155,0.003178649
143,82.5,0.001976096
143,170,0.003613864
143,37.5,0.00122392
143,22.5,0.002932007
143,35,0.002561648
143,20,0.001703943
143,22.5,0.09133038
143,20,0.093890898
143,25,0.083744646
143,22.5,0.115661085
143,20,0.066643096
143,45,0.168505229
143,95,0.107196132
143,82.5,0.115661085
143,60,0.128930484
143,67.5,0.119587996
143,15,0.1052537
143,25,0.133776001
143,110,0.10678153
143,12.5,0.200461813
143,20,0.344549248
143,20,0.28213994
143,22.5,0.47883402
