doy,gald,length,,,,,,
143,25,277.1,,,,,,
143,60,195.7,,,,,,
143,101,217.3,,,,,,
143,63,307.7,,,,,,
143,34,239.6,,,,,,
143,88,385.2,,,,,,
143,38,360,,,,,,
143,57,292.6,,,,,,
143,77,256.9,,,,,,
143,72,391.8,,,,,,
143,15,255.1,,,,,,
143,3,470.8,,,,,,
143,38,274,,,,,,
143,63,267.1,,,,,,
143,17,459.9,,,,,,
143,62,244.2,,,,,,
143,8,424.7,,,,,,
143,101,238.6,,,,,,
143,63,397.3,,,,,,
143,67.25,221.2,,,,,,
143,57.5,205.6,,,,,,
143,84,219.7,,,,,,
143,98,308,,,,,,
143,31,227.7,,,,,,
143,57,211,,,,,,
143,66,325.4,,,,,,
143,135,210.7,,,,,,
143,23,198.3,,,,,,
143,30,188.6,,,,,,
143,57,308.4,,,,,,
143,77,301,,,,,,
143,125,225.2,,,,,,
143,16,233.2,,,,,,
143,18,216.5,,,,,,
143,70,298,,,,,,
143,69,311.3,,,,,,
143,72,204.8,,,,,,
143,12,238.4,,,,,,
143,23,208.1,,,,,,
143,62,201.3,,,,,,
143,66,181.2,,,,,,
143,44,301.7,,,,,,
143,51,513.2,,,,,,
143,41,373.1,,,,,,
143,85,581.7,,,,,,
143,51,597.2,,,,,,
143,16,466,,,,,,
143,29,605.2,,,,,,
143,6,616.5,,,,,,
143,9,583.2,,,,,,
143,10,622.7,,,,,,
143,18,749.9,,,,,,
143,12,480.5,,,,,,
143,17,900.5,,,,,,
143,26,736.8,,,,,,
143,6,600.2,,,,,,
143,8,619,,,,,,
143,11,691.2,,,,,,
143,16,1012.2,,,,,,
143,17,1296.2,,,,,,
143,6,446,,,,,,
143,9,896.2,,,,,,
143,6,368.5,,,,,,
143,11,451.8,,,,,,
143,13,518.4,,,,,,
143,7,313.7,,,,,,
143,14,347,,,,,,
143,16,513.7,,,,,,
143,14,384.9,,,,,,
143,11,338.5,,,,,,
143,15,701,,,,,,
143,7,55.2,,,,,,
143,8,36.8,,,,,,
143,9,391.5,,,,,,
143,10,497.6,,,,,,
143,32,145,,,,,,
143,9,128.7,,,,,,
143,11,179.6,,,,,,
143,8,239.2,,,,,,
143,12,215.2,,,,,,
143,6,284.7,,,,,,
143,17,243.2,,,,,,
143,9,249.8,,,,,,
143,36,144.7,,,,,,
143,9,202.2,,,,,,
143,14,239.9,,,,,,
143,59.5,240.4,,,,,,
143,130,206.1,,,,,,
143,90,215.6,,,,,,
143,74,150.2,,,,,,
143,75,201,,,,,,
143,97,352.3,,,,,,
143,62,396.3,,,,,,
143,33,350.3,,,,,,
143,68,360.8,,,,,,
143,15,85.4,,,,,,
143,9,117.8,,,,,,
143,14,114.3,,,,,,
143,8,112.7,,,,,,
143,9,118.1,,,,,,
143,8,92.4,,,,,,
143,10,96,,,,,,
143,9,101.5,,,,,,
143,8,92.1,,,,,,
143,18,104,,,,,,
