project,year,doy,siteID,sampleDepth,SRP_ugL,flagSRP,TP_ugL,flagTP,TN_mgL,flagTN,NOx_mgL,flagNOx,microcystin_ugL,flagMC
GVLmonitoring,2020,156,4,0.25,0.2,,71.6,,0.58,,0.98,,,b
GVLmonitoring,2019,143,4,0.25,5.85,,,b,,b,0.33,,2.694,
GVLmonitoring,2019,150,4,0.25,4.4,,81.25,,5.96,,1.44,,5.455,
GVLmonitoring,2019,157,4,0.25,0,a,66.55,,2.48,,1.62,,0.29,
GVLmonitoring,2019,162,4,0.25,10.8,,48,,1.54,,1.51,,,b
GVLmonitoring,2019,164,4,0.25,0,a,57.75,,3.72,,1.3,,10.52,
GVLmonitoring,2019,171,4,0.25,0,a,72.5,,,b,1.02,,23.455,
GVLmonitoring,2019,178,4,0.25,18.1,,41.75,,1.95,,1.1,,3.1855,
GVLmonitoring,2019,192,4,0.25,34.75,,224,,1.59,,0.2,,36.64,
GVLmonitoring,2019,199,4,0.25,98.55,,263.7,,1.48,,0.1,b,20.615,
GVLmonitoring,2019,206,4,0.25,187.7,,313.55,,4.58,,0.04,,13.17,
GVLmonitoring,2019,211,4,0.25,169.35,,340,,1.48,,0.04,,,b
GVLmonitoring,2019,213,4,0.25,208.55,,349.3,,1.43,,0.11,,14.95,
GVLmonitoring,2019,220,4,0.25,174.35,,334.45,,5.08,,0,a,19.025,
GVLmonitoring,2019,227,4,0.25,201.65,,306.65,,4.56,,0.21,,8.635,
GVLmonitoring,2019,234,4,0.25,216.55,,350.63,,4.59,,0,a,15.755,
GVLmonitoring,2019,245,4,0.25,,b,341.23,,4.47,,,b,9.33,
GVLmonitoring,2019,251,4,0.25,214.05,,402.75,,0.9154,,0.04,,,b
GVLmonitoring,2019,273,4,0.25,,b,252.33,,2.33,,,b,12.5075,
GVLmonitoring,2019,143,4,2,7.7,,,b,,b,0.45,,,b
GVLmonitoring,2019,150,4,2,2.75,,,b,,b,1.39,,,b
GVLmonitoring,2019,157,4,2,0,a,,b,,b,1.89,,,b
GVLmonitoring,2019,162,4,2,,b,,b,,b,,b,,b
GVLmonitoring,2019,164,4,2,0,a,,b,,b,1.26,,,b
GVLmonitoring,2019,171,4,2,1.95,,,b,,b,1.01,,,b
GVLmonitoring,2019,178,4,2,30.05,,,b,,b,1.2,,,b
GVLmonitoring,2019,192,4,2,34.1,,,b,,b,0,a,,b
GVLmonitoring,2019,199,4,2,104.6,,,b,,b,0.13,,,b
GVLmonitoring,2019,206,4,2,185.05,,,b,,b,0,a,,b
GVLmonitoring,2019,211,4,2,,b,,b,,b,,b,,b
GVLmonitoring,2019,213,4,2,198.8,,,b,,b,0.27,,,b
GVLmonitoring,2019,220,4,2,176.25,,,b,,b,0,a,,b
GVLmonitoring,2019,227,4,2,202.95,,,b,,b,0.28,,,b
GVLmonitoring,2019,234,4,2,218,,,b,,b,0.24,,,b
GVLmonitoring,2019,251,4,2,,b,,b,,b,,b,,b
GVLmonitoring,2019,143,4,4,7.5,,,b,,b,0.18,,,b
GVLmonitoring,2019,150,4,4,14.85,,,b,,b,1.67,,,b
GVLmonitoring,2019,157,4,4,2.3,,,b,,b,2.33,,,b
GVLmonitoring,2019,162,4,4,,b,,b,,b,,b,,b
GVLmonitoring,2019,164,4,4,0,a,,b,,b,1.49,,,b
GVLmonitoring,2019,171,4,4,19.85,,,b,,b,1.16,,,b
GVLmonitoring,2019,178,4,4,45.05,,,b,,b,1.01,,,b
GVLmonitoring,2019,192,4,4,34.25,,,b,,b,0,a,,b
GVLmonitoring,2019,199,4,4,113.2,,,b,,b,0.25,,,b
GVLmonitoring,2019,206,4,4,293.95,,,b,,b,0,a,,b
GVLmonitoring,2019,211,4,4,,b,,b,,b,,b,,b
GVLmonitoring,2019,213,4,4,195.4,,,b,,b,0.12,,,b
GVLmonitoring,2019,220,4,4,238.9,,,b,,b,0,a,,b
GVLmonitoring,2019,227,4,4,218.4,,,b,,b,0.1,,,b
GVLmonitoring,2019,234,4,4,221.8,,,b,,b,0,a,,b
GVLmonitoring,2019,251,4,4,,b,,b,,b,,b,,b
GVLmonitoring,2020,156,4,5,31.55,,83.35,,0.66,,1.09,,,b
GVLmonitoring,2019,143,4,6,16.15,,,b,,b,0.32,,,b
GVLmonitoring,2019,150,4,6,133.6,,,b,,b,1.24,,,b
GVLmonitoring,2019,157,4,6,158.35,,,b,,b,2.02,,,b
GVLmonitoring,2019,162,4,6,,b,,b,,b,,b,,b
GVLmonitoring,2019,164,4,6,119.45,,,b,,b,1.13,,,b
GVLmonitoring,2019,171,4,6,84.75,,,b,,b,0.88,,,b
GVLmonitoring,2019,178,4,6,147.85,,,b,,b,0.4,,,b
GVLmonitoring,2019,192,4,6,460.9,,,b,,b,0,a,,b
GVLmonitoring,2019,199,4,6,515.75,,,b,,b,0.15,,,b
GVLmonitoring,2019,206,4,6,863.05,,,b,,b,0,a,,b
GVLmonitoring,2019,211,4,6,,b,,b,,b,,b,,b
GVLmonitoring,2019,213,4,6,334.75,,,b,,b,0.21,,,b
GVLmonitoring,2019,220,4,6,882.25,,,b,,b,0,a,,b
GVLmonitoring,2019,227,4,6,589,,,b,,b,0,a,,b
GVLmonitoring,2019,234,4,6,378.3,,,b,,b,0.19,,,b
GVLmonitoring,2019,251,4,6,,b,,b,,b,,b,,b
