site,site_code,date_time,thermocline,buoyancy_frequency
4,GDP,5/14/2019 17:00,0.25,0.004258644
4,GDP,5/14/2019 17:30,0.25,0.002230951
4,GDP,5/14/2019 18:00,0.25,0.002309735
4,GDP,5/14/2019 18:30,0.25,0.002949969
4,GDP,5/14/2019 19:00,1.679014981,0.001898859
4,GDP,5/14/2019 19:30,1.696410655,0.003294941
4,GDP,5/14/2019 20:00,2.171746359,0.002765881
4,GDP,5/14/2019 20:30,2.23142201,0.00309885
4,GDP,5/14/2019 21:00,2.610533957,0.002765881
4,GDP,5/14/2019 21:30,2.682744194,0.004458446
4,GDP,5/14/2019 22:00,2.737385229,0.005958259
4,GDP,5/14/2019 22:30,2.714372705,0.005351477
4,GDP,5/14/2019 23:00,2.255645763,0.005545976
4,GDP,5/14/2019 23:30,2.271051816,0.005271667
4,GDP,5/15/2019 0:00,1.937534056,0.003029809
4,GDP,5/15/2019 0:30,1.930015124,0.002718848
4,GDP,5/15/2019 1:00,2.670016933,0.001648967
4,GDP,5/15/2019 1:30,1.865860236,0.002700295
4,GDP,5/15/2019 2:00,2.157061743,0.002295908
4,GDP,5/15/2019 2:30,1.980390549,0.002114394
4,GDP,5/15/2019 3:00,1.927665919,0.002390184
4,GDP,5/15/2019 3:30,1.349776955,0.001794992
4,GDP,5/15/2019 4:00,1.718748429,0.001457821
4,GDP,5/15/2019 4:30,1.828707118,0.002376674
4,GDP,5/15/2019 5:00,1.979908774,0.001794992
4,GDP,5/15/2019 5:30,2.315250501,0.002929182
4,GDP,5/15/2019 6:00,2.365393952,0.002647175
4,GDP,5/15/2019 6:30,2.760010605,0.003442273
4,GDP,5/15/2019 7:00,2.815497698,0.002326613
4,GDP,5/15/2019 7:30,3.58966113,0.001539208
4,GDP,5/15/2019 8:00,3.534303761,0.001539208
4,GDP,5/15/2019 8:30,2.871056421,0.001757531
4,GDP,5/15/2019 9:00,2.824422348,0.002343279
4,GDP,5/15/2019 9:30,2.853617222,0.002360082
4,GDP,5/15/2019 10:00,2.774749923,0.00376843
4,GDP,5/15/2019 10:30,2.734698194,0.00201521
4,GDP,5/15/2019 11:00,2.856036394,0.002343279
4,GDP,5/15/2019 11:30,2.325537266,0.003320191
4,GDP,5/15/2019 12:00,3.191694103,0.001203458
4,GDP,5/15/2019 12:30,2.770852618,0.002848
4,GDP,5/15/2019 13:00,2.580339805,0.002744401
4,GDP,5/15/2019 13:30,2.306337442,0.004044876
4,GDP,5/15/2019 14:00,2.280135287,0.004044876
4,GDP,5/15/2019 14:30,2.277870109,0.004347691
4,GDP,5/15/2019 15:00,2.282484229,0.004071241
4,GDP,5/15/2019 15:30,2.20025861,0.002590437
4,GDP,5/15/2019 16:00,2.258639598,0.003212035
4,GDP,5/15/2019 16:30,2.287276288,0.003795556
4,GDP,5/15/2019 17:00,2.220994431,0.004319168
4,GDP,5/15/2019 17:30,2.196749157,0.003716556
4,GDP,5/15/2019 18:00,1.970106674,0.002409922
4,GDP,5/15/2019 18:30,1.815213268,0.002991622
4,GDP,5/15/2019 19:00,2.767303863,0.002213798
4,GDP,5/15/2019 19:30,2.778875556,0.002213798
4,GDP,5/15/2019 20:00,1.890870359,0.002376674
4,GDP,5/15/2019 20:30,2.292457701,0.00201521
4,GDP,5/15/2019 21:00,2.706248767,0.002787088
4,GDP,5/15/2019 21:30,2.751455776,0.002245041
4,GDP,5/15/2019 22:00,2.78763098,0.002571572
4,GDP,5/15/2019 22:30,2.712254111,0.00309885
4,GDP,5/15/2019 23:00,2.689310808,0.0033688
4,GDP,5/15/2019 23:30,2.741235731,0.003122276
4,GDP,5/16/2019 0:00,2.654315023,0.003343416
4,GDP,5/16/2019 0:30,2.678248979,0.0033688
4,GDP,5/16/2019 1:00,2.187108187,0.003795556
4,GDP,5/16/2019 1:30,2.260712305,0.00318884
4,GDP,5/16/2019 2:00,2.137106224,0.001732375
