doyfrac,doy,timefrac,site,chl_rfu,chl,cond,nLF cond,odo_sat,odo_satlocal,odo,salinity,spcond,pc_rfu,pc,tds,wiper,ph,ph_mv,temp,battery,cablepower
134.5,134,0.5,Green Valley 2019 - Site 4,0,13.21,481.8,512.4,100.4,100.4,8.75,0.25,509.7,0.16,2.72,331,1.204,8.19,-128.3,22.138,2.95,1.6
134.51,134,0.51,Green Valley 2019 - Site 5,0.14,13.74,94.8,97.6,100.3,100.3,8.5,0.04,97.3,0.57,3.13,63,1.201,8.91,-172.2,23.621,2.94,1.6
134.52,134,0.52,Green Valley 2019 - Site 6,0.98,17.13,177.6,230.1,93.2,93.2,9.66,0.11,226.5,-0.88,1.68,147,1.211,8.05,-117.5,13.71,2.94,1.5
134.53,134,0.53,Green Valley 2019 - Site 7,0.98,17.11,177.8,229.9,93.8,93.8,9.7,0.11,226.2,-0.88,1.68,147,1.212,8.08,-119.2,13.806,2.95,1.5
134.54,134,0.54,Green Valley 2019 - Site 8,0.9,16.78,178.2,229.8,94,94,9.7,0.11,226.2,-0.88,1.68,147,1.203,8.07,-119,13.892,2.94,1.4
134.55,134,0.55,Green Valley 2019 - Site 9,1.65,19.79,177.9,229.6,94.9,94.9,9.8,0.11,225.9,-0.84,1.72,147,1.195,8.09,-120.1,13.868,2.94,1.4
134.56,134,0.56,Green Valley 2019 - Site 10,0.83,16.52,178.3,229.6,95.9,95.9,9.89,0.11,226,-0.87,1.68,147,1.202,8.1,-120.5,13.947,2.94,1.4
134.57,134,0.57,Green Valley 2019 - Site 11,0.95,17,178.3,229.7,96.1,96.1,9.91,0.11,226,-0.88,1.68,147,1.202,8.1,-121,13.949,2.94,1.4
134.58,134,0.58,Green Valley 2019 - Site 12,0.97,17.08,178.3,229.5,96.3,96.3,9.92,0.11,225.9,-0.86,1.7,147,1.198,8.11,-121,13.975,2.94,1.4
134.59,134,0.59,Green Valley 2019 - Site 13,1.05,17.37,178.3,229.4,96.4,96.4,9.94,0.11,225.8,-0.83,1.72,147,1.207,8.12,-122,13.982,2.94,1.4
134.6,134,0.6,Green Valley 2019 - Site 14,0.97,17.08,178.7,229.4,96.8,96.8,9.95,0.11,225.8,-0.84,1.71,147,1.202,8.13,-122.3,14.077,2.94,1.4
134.61,134,0.61,Green Valley 2019 - Site 15,1,17.19,178.8,229.3,98.1,98.1,10.08,0.11,225.7,-0.87,1.68,147,1.199,8.14,-123,14.111,2.94,1.4
134.63,134,0.63,Green Valley 2019 - Site 16,1.05,17.4,178.7,229.2,98.9,98.9,10.16,0.11,225.6,-0.86,1.69,147,1.195,8.15,-123.8,14.106,2.94,1.4
