doy,taxon,group,biomass,avg_gald,med_gald,mbfg,diazotrophy,heterocystous,toxin_production,motility,buoyancy,mixotrophy,p_affin,max_growth,edibility
143,Aphanizomenon,Cyanophyta,1.83,27.1237767,1.923,4,1,1,1,0,1,0,47.7,0.971,0.3
143,Aphanocapsa,Cyanophyta,0,0,0,7,1,0,1,0,0,0,126,1.24,0.435
143,Aphanothece,Cyanophyta,0,0,0,7,1,1,0,0,0,0,74.5,0.974,0.279
143,Asterionella,Bacillariophyta,0.33,15,15,6,0,0,0,0,0,0,105,1.5,0.23
143,Chalmydomonas,Chlorophyta,0,0,0,3,0,0,0,1,0,0,171,1.79,0.622
143,Coelastrum,Chlorophyta,0.38,6,6,4,0,0,0,0,0,0,123,1.52,0.325
143,Cosmarium,Chlorophyta,0.8,17,17,4,0,0,0,0,0,0,72.3,0.946,0.162
143,Cryptomonas,Cryptophyta,0.42,4.964285714,4,5,0,0,0,1,0,1,137,1.23,0.553
143,Desmodesmus,Chlorophyta,0,0,0,4,0,0,0,0,0,0,237,1.77,0.408
143,Dolichospermum,Cyanophyta,0,0,0,3,1,1,1,0,1,0,266,1.1,0.418
143,Elakatothrix,Chlorophyta,0.03,4.720588235,4,1,0,0,0,0,0,0,760,1.36,0.328
143,Eudorina,Chlorophyta,6.72,7.160447761,4,7,0,0,0,1,0,0,32.3,1.1,0.218
143,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
143,Fragilaria,Bacillariophyta,83.56,8.810526316,1.08,6,0,0,0,0,0,0,98.5,1.37,0.196
143,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
143,Mallomonas,Chrysophyta,0,0,0,2,0,0,0,1,0,1,338,0.505,0.201
143,Merismopedia,Cyanophyta,0,0,0,7,1,0,1,0,1,0,126,1.24,0.435
143,Microcystis,Cyanophyta,8.63,14.97435897,10,7,0,0,1,0,1,0,9.56,0.993,0.225
143,Microcystis_Single,Cyanophyta,0,0,0,1,0,0,1,0,1,0,9.56,0.993,0.225
143,Oocystis,Chlorophyta,0.09,3.163793103,2,7,0,0,0,0,0,0,187,1.55,0.396
143,Pediastrum,Chlorophyta,25,4.25,4,4,0,0,0,0,0,0,310,1.28,0.311
143,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
143,Pseudanabaena,Cyanophyta,0.003275633,1.5,1,3,1,0,1,0,1,0,371,1.31,0.502
143,Schroederia,Chlorophyta,0,0,0,1,0,0,0,0,0,0,609,1.6,0.439
143,Snowella,Cyanophyta,0,0,0,7,0,0,1,0,0,0,353,1.32,0.516
143,Staurastrum,Chlorophyta,0.15,8.666666667,10,4,0,0,0,0,0,0,147,0.837,0.151
143,Stephanodiscus,Bacillariophyta,41.9,14.12711864,14,6,0,0,0,0,0,0,13.1,1.82,0.355
143,Trachelomonas,Euglenophyta,0.03,7,7,5,0,0,0,1,0,1,4630,1.22,0.483
143,Unknown.centric.bacillariophyte,Chlorophyta,0.01,5,5,4,0,0,0,0,0,0,621,1.62,0.427
143,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
143,Unknwon.pennate.bacillariophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,621,1.62,0.427
143,Woronichinia,Cyanophyta,0.85,2.264705882,1.75,7,0,0,1,0,1,0,353,1.32,0.516
150,Aphanizomenon,Cyanophyta,0.6,14.35,4.75,4,1,1,1,0,1,0,47.7,0.971,0.3
150,Aphanocapsa,Cyanophyta,0,0,0,7,1,0,1,0,0,0,126,1.24,0.435
150,Aphanothece,Cyanophyta,0,0,0,7,1,1,0,0,0,0,74.5,0.974,0.279
150,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
150,Chalmydomonas,Chlorophyta,0.03,2.25,2.25,3,0,0,0,1,0,0,171,1.79,0.622
150,Coelastrum,Chlorophyta,0.18,4.0625,4,4,0,0,0,0,0,0,123,1.52,0.325
150,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
150,Cryptomonas,Cryptophyta,0,0,0,5,0,0,0,1,0,1,137,1.23,0.553
150,Desmodesmus,Chlorophyta,0,0,0,4,0,0,0,0,0,0,237,1.77,0.408
150,Dolichospermum,Cyanophyta,0,0,0,3,1,1,1,0,1,0,266,1.1,0.418
150,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
150,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
150,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
150,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
150,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
150,Mallomonas,Chrysophyta,0,0,0,2,0,0,0,1,0,1,338,0.505,0.201
150,Merismopedia,Cyanophyta,0,0,0,7,1,0,1,0,1,0,126,1.24,0.435
150,Microcystis,Cyanophyta,0,0,0,7,0,0,1,0,1,0,9.56,0.993,0.225
150,Microcystis_Single,Cyanophyta,1.35,2.55,2.5,1,0,0,1,0,1,0,9.56,0.993,0.225
150,Oocystis,Chlorophyta,0.14,4.75,4.75,7,0,0,0,0,0,0,187,1.55,0.396
150,Pediastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,310,1.28,0.311
150,Planktolyngbya,Cyanophyta,0,0,0,3,0,0,1,0,0,0,353,1.32,0.516
150,Pseudanabaena,Cyanophyta,0.01,1.40625,1,3,1,0,1,0,1,0,371,1.31,0.502
150,Schroederia,Chlorophyta,0.04,4.375,4.375,1,0,0,0,0,0,0,609,1.6,0.439
150,Snowella,Cyanophyta,0,0,0,7,0,0,1,0,0,0,353,1.32,0.516
150,Staurastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,147,0.837,0.151
150,Stephanodiscus,Bacillariophyta,6.05,13,13,6,0,0,0,0,0,0,13.1,1.82,0.355
150,Trachelomonas,Euglenophyta,0,0,0,5,0,0,0,1,0,1,4630,1.22,0.483
150,Unknown.centric.bacillariophyte,Chlorophyta,0,0,0,4,0,0,0,0,0,0,621,1.62,0.427
150,Unknown.centric.chlorophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,1680,1.52,0.477
150,Unknwon.pennate.bacillariophyte,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,621,1.62,0.427
150,Woronichinia,Cyanophyta,0,0,0,7,0,0,1,0,1,0,353,1.32,0.516
157,Aphanizomenon,Cyanophyta,1.21,12.90909091,1.75,4,1,1,1,0,1,0,47.7,0.971,0.3
157,Aphanocapsa,Cyanophyta,0,0,0,7,1,0,1,0,0,0,126,1.24,0.435
157,Aphanothece,Cyanophyta,0,0,0,7,1,1,0,0,0,0,74.5,0.974,0.279
157,Asterionella,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,105,1.5,0.23
157,Chalmydomonas,Chlorophyta,0.02,2,2,3,0,0,0,1,0,0,171,1.79,0.622
157,Coelastrum,Chlorophyta,0,0,0,4,0,0,0,0,0,0,123,1.52,0.325
157,Cosmarium,Chlorophyta,0,0,0,4,0,0,0,0,0,0,72.3,0.946,0.162
157,Cryptomonas,Cryptophyta,0.22,7.5,7.5,5,0,0,0,1,0,1,137,1.23,0.553
157,Desmodesmus,Chlorophyta,0,0,0,4,0,0,0,0,0,0,237,1.77,0.408
157,Dolichospermum,Cyanophyta,0,0,0,3,1,1,1,0,1,0,266,1.1,0.418
157,Elakatothrix,Chlorophyta,0,0,0,1,0,0,0,0,0,0,760,1.36,0.328
157,Eudorina,Chlorophyta,0,0,0,7,0,0,0,1,0,0,32.3,1.1,0.218
157,Euglena,Euglenophyta,0,0,0,5,0,0,0,1,0,1,2670,1.14,0.375
157,Fragilaria,Bacillariophyta,0,0,0,6,0,0,0,0,0,0,98.5,1.37,0.196
157,Komma,Cryptophyta,0,0,0,5,0,0,0,1,0,1,1900,1.58,0.837
