X,Y
-6.707317073,-4.496453901
-6.341463415,-2.666666667
-6.548780488,-0.737588652
-5.335365854,-0.042553191
-5.152439024,-0.09929078
-4.798780488,-3.489361702
-4.713414634,-3.460992908
-4.597560976,-2.907801418
-4.817073171,-1.319148936
-4.932926829,-1.205673759
-4.75,-0.666666667
-4.68902439,0.723404255
-4.457317073,-1.177304965
-4.365853659,-1.716312057
-3.731707317,-2.524822695
-3.542682927,-2.836879433
-3.512195122,-2.29787234
-3.469512195,-2.226950355
-2.841463415,-1.304964539
-2.469512195,-1.730496454
-3.969512195,0.879432624
-3.914634146,0.070921986
-3.926829268,-0.19858156
-3.469512195,-0.65248227
-3.37804878,-0.425531915
-3.219512195,-0.241134752
-3.073170732,0.141843972
-2.292682927,0.978723404
-2.280487805,1.035460993
-2.036585366,1.219858156
-1.896341463,1.489361702
-1.524390244,0.354609929
-0.62804878,0.510638298
1.402439024,3.446808511
1.213414634,3.617021277
1.006097561,3.163120567
0.646341463,2.765957447
0.432926829,3.404255319
0.030487805,3.219858156
-0.115853659,2.95035461
0.018292683,2.226950355
-0.097560976,2.070921986
-0.182926829,2.226950355
-0.225609756,2.624113475
-0.146341463,2.709219858
-0.506097561,2.609929078
-0.396341463,2.156028369
-0.231707317,1.843971631
-0.085365854,1.645390071
-0.170731707,1.758865248
-0.676829268,2.141843972
-0.68902439,1.858156028
-0.670731707,1.985815603
-0.945121951,1.191489362
-1.036585366,1.659574468
-1.237804878,1.304964539
-1.359756098,1.290780142
-1.579268293,0.964539007
-1.743902439,1.120567376
-1.414634146,1.90070922
-1.536585366,1.872340426
-1.091463415,2.184397163
-1.048780488,2.354609929
-0.951219512,2.624113475
-1.140243902,2.609929078
-1.475609756,1.517730496
-1.713414634,1.645390071
-1.737804878,1.390070922
-1.481707317,1.432624113
-1.506097561,1.645390071
-1.609756098,1.531914894
