X,Y
-6.707530648,-5.454545455
-6.343257443,-4.509090909
-6.546409807,-2.642424242
-5.779334501,-4.816161616
-5.695271454,-2.917171717
-5.579684764,-2.197979798
-5.334500876,-2.117171717
-5.152364273,-2.432323232
-4.69352014,-1.357575758
-4.714535902,-5.17979798
-4.371278459,-3.2
-3.915936953,-3.62020202
-3.975481611,-0.242424242
-3.891418564,-0.597979798
-3.467600701,-3.280808081
-3.38704028,-1.842424242
-2.840630473,-1.97979798
-2.297723292,-0.266666667
-2.038528897,-0.848484848
-1.901926445,-0.654545455
-1.488616462,-1.486868687
-1.418563923,-1.115151515
-1.716287215,-0.024242424
-1.04028021,-1.38989899
-0.949211909,-1.026262626
-1.050788091,-0.412121212
-1.23642732,-0.161616162
-1.366024518,-0.016161616
-1.138353765,0.614141414
-1.096322242,0.913131313
-0.956217163,0.606060606
-0.672504378,-0.234343434
-0.679509632,0.468686869
-0.511383538,1.163636364
-0.399299475,0.331313131
-0.227670753,-0.468686869
-0.185639229,-0.105050505
-0.119089317,0.153535354
-0.101576182,0.436363636
0.021015762,0.315151515
-0.23117338,1.018181818
-0.185639229,1.058585859
-0.154115587,1.608080808
0.42732049,-0.113131313
1.211908932,0.436363636
1.00525394,1.551515152
1.148861646,1.987878788
