Year,DOYFrac,Treatment,PhytoBiomass,Bacillariophyta,Chlorophyta,Chrysophyta,Cryptophyta,Cyanophyta,Dinophyta,Euglenophyta,Haptophyta,ZoopBiomass,RotiferBiomass,Bosmina,Calanoida,Ceriodaphnia,Chydorus,Cyclopoida,Daphnia,Nauplii
2000,2000.472203,Pre,27.1869,19.9021,7.2848,0,0,0,0,0,0,,,,,,,,,
2000,2000.547945,Pre,2.665,1.2923,0.9256,0,0,0.4471,0,0,0,222.3501,0.1197,0,52.2682,130.9738,0,2.4635,33.2273,3.2976
2000,2000.606735,Pre,3.4725,0.4558,2.5851,0,0,0.1443,0.2872,0,0,147.6,0.3462,0,438.6963,795.6198,0,0,146.6805,94.7203
2001,2001.389041,Pre,6.1361,0.6942,1.3454,0,0.0121,4.0845,0,0,0,164.9323,0.357,1.0586,59.5813,38.4793,0,44.058,7.306,14.092
2001,2001.465753,Pre,7.6781,2.5247,2.0586,0,0.0348,2.7463,0.3137,0,0,106.1846,0.495,2.2871,35.3932,0,0,7.5516,47.1341,13.3237
2001,2001.558904,Pre,129.1634,0.4505,0.0479,0,0.3241,128.3409,0,0,0,130.2494,2.5636,0.9876,94.3783,0,0,10.0675,10.6627,11.5897
2002,2002.406992,Pre,6.8982,0.1757,5.402,0,0.0518,1.2659,0,0.0027,0,118.9879,1.1748,0,3.1417,0,0,1.6389,110.2069,2.8255
2002,2002.48087,Pre,59.8494,8.7477,10.7959,0,0,40.3058,0,0,0,481.1365,5.1859,5.0581,95.5199,0,0,98.5857,239.712,37.0749
2002,2002.575343,Pre,53.4837,0,0,0,0,52.5514,0.9323,0,0,59.2545,0.1414,0,42.5883,0,0,1.7736,9.4991,5.2521
2003,2003.40274,Pre,3.9471,0.4155,0.3441,0,0.228,2.9596,0,0,0,227.351,3.8627,4.473,44.4597,0,0,52.0266,97.8513,24.6777
2003,2003.476712,Pre,31.4927,0.4301,0.1376,0,0,30.925,0,0,0,217.3038,0.4825,7.5023,87.9965,0,0,7.2803,96.1286,17.9136
2003,2003.576237,Pre,26.4165,2.0899,0.2659,0,0,22.6089,1.3782,0.0736,0,390.8549,2.3251,29.8848,176.8736,0,0,0,172.5656,9.2058
2004,2004.401598,Pre,11.2723,0.3634,0.5305,0,0.0044,10.3741,0,0,0,267.4587,0.7892,4.4526,183.7643,0,0,24.9064,43.7601,9.786
2004,2004.475771,Pre,66.9584,0.0061,0.0273,0,0.0202,66.9048,0,0,0,225.4444,0.2135,0,36.107,0,0,13.5022,170.6742,4.9475
2004,2004.573573,Pre,47.9079,0.2181,0.2121,0,0.0447,47.3795,0,0.0536,0,82.9323,0.1112,0,8.7357,0,0,7.4031,62.6939,3.9884
2005,2005.41544,Pre,27.9855,2.1699,0.2173,0,0,25.5983,0,0,0,39.1477,0.2171,0.101,16.9604,0,0,2.3926,16.3029,3.1737
2005,2005.489384,Pre,31.8079,0.6988,0.0162,0,0.0456,31.0473,0,0,0,151.213,0.0042,0.4204,69.9823,0,0,20.7919,54.3405,5.6737
2005,2005.587843,Pre,162.0382,0.0398,0.0304,0,0.1408,161.8094,0,0.0179,0,74.8804,0,0,23.6493,0,0,5.1128,40.5861,5.5322
2006,2006.412664,Pre,65.8091,0.2729,1.6417,0,0.093,63.8015,0,0,0,532.6037,2.8433,3.977,112.5258,0,0,8.9774,401.2558,3.0244
2006,2006.488843,Pre,230.6271,0.0761,0.2395,0,0,230.3115,0,0,0,41.7692,0.1624,2.0183,17.6858,0,0,0.4434,18.6032,2.8561
2006,2006.584292,Pre,145.3634,0,0,0,0,145.3634,0,0,0,144.0508,0.0032,1.2698,61.6829,2.6748,0,19.0893,53.0796,6.2512
2007,2007.409932,Pre,12.5706,3.0152,0.2754,0,0.0967,9.1833,0,0,0,80.6939,0.2669,1.5134,56.3971,0,0,2.8418,12.6013,7.0734
2007,2007.485987,Pre,12.9412,0.7847,0,0,0.4135,11.743,0,0,0,57.5952,0.23,0.7073,20.9314,0,0,2.8772,30.4598,2.3896
2007,2007.582687,Pre,187.6757,0.2095,0.8767,0,0,186.5895,0,0,0,92.7776,0.1091,0.7017,43.5459,1.1122,0,14.6072,26.5445,6.157
2011,2011.451016,Post,33.4302,9.8036,0.9558,0,0.0522,22.6187,0,0,0,201.6968,7.9799,0,176.1145,0,0,0,11.7291,5.8734
2011,2011.584777,Post,14.2572,0.036,0.0909,0,0.0295,14.1008,0,0,0,212.8864,2.0034,0,91.2636,0,0,111.3512,0,8.2682
2011,2011.699838,Post,13.9083,0.2519,0.0177,0,0,13.6033,0,0.0354,0,159.1321,0.0075,6.9646,65.9182,3.8029,0,79.5902,1.7367,1.1121
2012,2012.448113,Post,1423.9561,0.378,0.8523,0,0.1355,1422.5903,0,0,0,83.6626,1.5308,0,79.5796,0,0,0.8524,0,1.6998
2012,2012.582038,Post,264.1902,30.8813,0.106,0,0.1283,231.9425,0.843,0.2891,0,110.3234,1.7911,0,35.1199,0,10.7561,0.8709,58.8753,2.9101
2012,2012.702475,Post,109.4326,0.9324,1.9913,0.2641,3.8238,97.651,3.9681,0.8019,0,25.1414,0.5108,0,18.4165,0,0,0.8769,0,5.3371
2013,2013.442761,Post,52.23,11.0189,8.9773,0,0.8058,26.6694,4.7017,0.057,0,120.0299,3.1546,0,24.7892,0,0,27.9378,56.8442,7.3041
2013,2013.576798,Post,1338.0697,0.0239,0.0398,0,0.0637,1336.193,1.7491,0,0,11.9047,0.5369,3.6595,0,1.0393,2.0801,0,3.0338,0.6278
2013,2013.691667,Post,21.2838,4.0868,2.8962,0.009,0.119,11.9777,0,2.195,0,13.73,0.4805,1.1847,0,3.4035,0,3.3388,0,1.6067
2014,2014.458956,Post,24.7343,1.7085,9.7153,0,4.7068,4.7366,0,3.8671,0,341.4919,8.8834,9.1521,144.9405,0,3.492,23.7678,146.66,4.5961
2014,2014.593326,Post,281.9651,0.0148,0.0065,0.0334,0.0389,279.9333,1.9382,0,0,59.4624,0.2356,10.8881,12.9679,14.1091,19.5565,0,0.821,0.8842
2014,2014.705618,Post,66.4961,6.6624,1.2068,0.0051,0.0288,58.5931,0,0,0,65.2468,0.2193,0,50.1512,1.3141,3.5846,3.455,5.9139,0.6087
2015,2015.456273,Post,92.2399,0,27.1444,0.0279,0.8731,64.1945,0,0,0,264.7654,6.9641,13.7734,6.3864,26.9027,0,120.0364,12.3166,78.3859
2015,2015.590411,Post,54.1982,0,0.1458,0,0,54.0524,0,0,0,259.2902,4.699,169.152,0,45.8343,24.3157,6.8613,1.5795,6.8483
2015,2015.702797,Post,17.8797,0,0.1711,0,0,17.6967,0,0,0.0119,95.4419,0.6218,0.2444,0,46.6566,1.744,15.6959,29.673,0.8062
2016,2016.452055,Post,117.312,2.457,3.1473,0,1.0402,110.6503,0,0.0171,0,367.6864,28.0502,4.8064,168.2273,0,17.112,74.7347,45.4443,18.5683
2016,2016.586301,Post,259.6736,1.2168,1.9003,0,0.1048,256.4518,0,0,0,22.0526,1.1001,1.5791,3.7861,3.4405,1.7964,0,9.0889,1.2614
2016,2016.70411,Post,167.5747,0.5086,0.3796,0.1274,0.3091,166.25,0,0,0,34.0375,0.5929,0.9364,8.1909,12.698,0,0.5629,10.6263,0.4301
2017,2017.430137,Post,,,,,,,,,,298.1415,11.1068,23.2467,134.6932,4.5179,45.6208,27.9697,45.5171,5.4693
2017,2017.564384,Post,62.2839,1.8528,0.0512,0.1724,0.1247,59.644,0.3793,0.0595,0,36.7045,0.8793,0.3789,7.1393,0,18.4497,0.54,5.5933,3.0098
2017,2017.660274,Post,,,,,,,,,,131.3854,0.0464,0,80.6282,5.7871,0.7197,0,41.478,0.6081
2018,2018.427397,Post,,,,,,,,,,112.4276,0.2064,3.918,13.1889,0,3.8231,19.9002,67.8922,3.0682
2018,2018.564384,Post,,,,,,,,,,78.6472,0.1461,0,0,3.2362,32.627,0,17.3109,1.7224
2018,2018.660274,Post,52.1319,1.8354,0.0745,0,1.229605329,48.9924,0,0,0,8.4937,0.3296,0.2151,0.8645,0.5535,0.6608,0.1747,5.0191,0.6763
2019,2019.443836,Post,,,,,,,,,,NA,0.0878,24.3861,264.9618,0,47.5316,136.6679,NA,26.4623
2019,2019.578082,Post,280.1276,0,0,0,0.426941873,279.7006258,0,0,0,90.5932,0.1804,0,0,0,12.6373,22.9286,53.4541,1.3929
2019,2019.687671,Post,,,,,,,,,,324.9112,0,0,16.3663,0,1.891,0,NA,0
