Year,DOYFrac,PhytoBiomass,Bacillariophyta,Chlorophyta,Chrysophyta,Cryptophyta,Cyanophyta,Dinophyta,Euglenophyta,Haptophyta
2000,2000.472203,27.1869,19.9021,7.2848,0,0,0,0,0,0
2000,2000.547945,2.665,1.2923,0.9256,0,0,0.4471,0,0,0
2000,2000.606735,3.4725,0.4558,2.5851,0,0,0.1443,0.2872,0,0
2001,2001.389041,6.1361,0.6942,1.3454,0,0.0121,4.0845,0,0,0
2001,2001.465753,7.6781,2.5247,2.0586,0,0.0348,2.7463,0.3137,0,0
2001,2001.558904,129.1634,0.4505,0.0479,0,0.3241,128.3409,0,0,0
2002,2002.406992,6.8982,0.1757,5.402,0,0.0518,1.2659,0,0.0027,0
2002,2002.48087,59.8494,8.7477,10.7959,0,0,40.3058,0,0,0
2002,2002.575343,53.4837,0,0,0,0,52.5514,0.9323,0,0
2003,2003.40274,3.9471,0.4155,0.3441,0,0.228,2.9596,0,0,0
2003,2003.476712,31.4927,0.4301,0.1376,0,0,30.925,0,0,0
2003,2003.576237,26.4165,2.0899,0.2659,0,0,22.6089,1.3782,0.0736,0
2004,2004.401598,11.2723,0.3634,0.5305,0,0.0044,10.3741,0,0,0
2004,2004.475771,66.9584,0.0061,0.0273,0,0.0202,66.9048,0,0,0
2004,2004.573573,47.9079,0.2181,0.2121,0,0.0447,47.3795,0,0.0536,0
2005,2005.41544,27.9855,2.1699,0.2173,0,0,25.5983,0,0,0
2005,2005.489384,31.8079,0.6988,0.0162,0,0.0456,31.0473,0,0,0
2005,2005.587843,162.0382,0.0398,0.0304,0,0.1408,161.8094,0,0.0179,0
2006,2006.412664,65.8091,0.2729,1.6417,0,0.093,63.8015,0,0,0
2006,2006.488843,230.6271,0.0761,0.2395,0,0,230.3115,0,0,0
2006,2006.584292,145.3634,0,0,0,0,145.3634,0,0,0
2007,2007.409932,12.5706,3.0152,0.2754,0,0.0967,9.1833,0,0,0
2007,2007.485987,12.9412,0.7847,0,0,0.4135,11.743,0,0,0
2007,2007.582687,187.6757,0.2095,0.8767,0,0,186.5895,0,0,0
2011,2011.451016,33.4302,9.8036,0.9558,0,0.0522,22.6187,0,0,0
2011,2011.584777,14.2572,0.036,0.0909,0,0.0295,14.1008,0,0,0
2011,2011.699838,13.9083,0.2519,0.0177,0,0,13.6033,0,0.0354,0
2012,2012.448113,1423.9561,0.378,0.8523,0,0.1355,1422.5903,0,0,0
2012,2012.582038,264.1902,30.8813,0.106,0,0.1283,231.9425,0.843,0.2891,0
2012,2012.702475,109.4326,0.9324,1.9913,0.2641,3.8238,97.651,3.9681,0.8019,0
2013,2013.442761,52.23,11.0189,8.9773,0,0.8058,26.6694,4.7017,0.057,0
2013,2013.576798,1338.0697,0.0239,0.0398,0,0.0637,1336.193,1.7491,0,0
2013,2013.691667,21.2838,4.0868,2.8962,0.009,0.119,11.9777,0,2.195,0
2014,2014.458956,24.7343,1.7085,9.7153,0,4.7068,4.7366,0,3.8671,0
2014,2014.593326,281.9651,0.0148,0.0065,0.0334,0.0389,279.9333,1.9382,0,0
2014,2014.705618,66.4961,6.6624,1.2068,0.0051,0.0288,58.5931,0,0,0
2015,2015.456273,92.2399,0,27.1444,0.0279,0.8731,64.1945,0,0,0
2015,2015.590411,54.1982,0,0.1458,0,0,54.0524,0,0,0
2015,2015.702797,17.8797,0,0.1711,0,0,17.6967,0,0,0.0119
2016,2016.452055,117.312,2.457,3.1473,0,1.0402,110.6503,0,0.0171,0
2016,2016.586301,259.6736,1.2168,1.9003,0,0.1048,256.4518,0,0,0
2016,2016.70411,167.5747,0.5086,0.3796,0.1274,0.3091,166.25,0,0,0
2017,2017.430137,,,,,,,,,
2017,2017.564384,62.2839,1.8528,0.0512,0.1724,0.1247,59.644,0.3793,0.0595,0
2017,2017.660274,,,,,,,,,
2018,2018.427397,,,,,,,,,
2018,2018.564384,,,,,,,,,
2018,2018.660274,52.1319,1.8354,0.0745,0,1.229605329,48.9924,0,0,0
2019,2019.443836,,,,,,,,,
2019,2019.578082,280.1276,0,0,0,0.426941873,279.7006258,0,0,0
2019,2019.687671,,,,,,,,,
