sampledate,doyfrac,doy,year,yearfrac,genus,division,biomass
6/13/2011,0.446575342,164,2011,2011.446575,Alona,Chydoridae,0
6/13/2011,0.446575342,164,2011,2011.446575,Anuraeopsis,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Ascomorpha,Rotifer,0.050432674
6/13/2011,0.446575342,164,2011,2011.446575,Asplanchna,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Asplanchnopus,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Bosmina,Bosmina,0
6/13/2011,0.446575342,164,2011,2011.446575,Brachionus,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Camptocercus,Chydoridae,176.1145019
6/13/2011,0.446575342,164,2011,2011.446575,Calanoida,Calanoida,0
6/13/2011,0.446575342,164,2011,2011.446575,Ceriodaphnia,Ceriodaphnia,0
6/13/2011,0.446575342,164,2011,2011.446575,Chydorus,Chydoridae,0
6/13/2011,0.446575342,164,2011,2011.446575,Collotheca,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Conochilus (Individual),Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Coulrella,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Cyclopoida,Cyclopoida,11.72907299
6/13/2011,0.446575342,164,2011,2011.446575,Daphnia,Daphnia,0
6/13/2011,0.446575342,164,2011,2011.446575,Daphnia lumholtzi,Daphniid,0
6/13/2011,0.446575342,164,2011,2011.446575,Diaphanosoma,Diaphanosoma,0
6/13/2011,0.446575342,164,2011,2011.446575,Disparalona,Chydoridae,0
6/13/2011,0.446575342,164,2011,2011.446575,Euchlanis,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Filinia,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Gastropus,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Hexarthra ,Rotifer,0.010984654
6/13/2011,0.446575342,164,2011,2011.446575,Kellicottia,Rotifer,7.748064144
6/13/2011,0.446575342,164,2011,2011.446575,Keratella cochlearis,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Keratella quadrata,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Lecane,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Lepadella,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Leptodora,Leptodora,0
6/13/2011,0.446575342,164,2011,2011.446575,Macrochaetus,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Moina,Daphniid,0
6/13/2011,0.446575342,164,2011,2011.446575,Monostyla,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Mytilina,Rotifer,5.873385931
6/13/2011,0.446575342,164,2011,2011.446575,Nauplii,Nauplii,0
6/13/2011,0.446575342,164,2011,2011.446575,Notholca,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Platyias,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Pleuroxus,Rotifer,0.170380455
6/13/2011,0.446575342,164,2011,2011.446575,Polyarthra,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Pompholyx,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Proales,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Pseudochydorus,Chydoridae,0
6/13/2011,0.446575342,164,2011,2011.446575,Synchaeta,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Testudinella,Rotifer,0
6/13/2011,0.446575342,164,2011,2011.446575,Trichocerca,Rotifer,0
8/1/2011,0.580821918,213,2011,2011.580822,Alona,Chydoridae,0
8/1/2011,0.580821918,213,2011,2011.580822,Anuraeopsis,Rotifer,0
8/1/2011,0.580821918,213,2011,2011.580822,Ascomorpha,Rotifer,0
8/1/2011,0.580821918,213,2011,2011.580822,Asplanchna,Rotifer,0
8/1/2011,0.580821918,213,2011,2011.580822,Asplanchnopus,Rotifer,0
8/1/2011,0.580821918,213,2011,2011.580822,Bosmina,Bosmina,0
8/1/2011,0.580821918,213,2011,2011.580822,Brachionus,Rotifer,0.366184512
8/1/2011,0.580821918,213,2011,2011.580822,Camptocercus,Chydoridae,0
